gene_id,Sample_Id,mRNA_expression
572,95,-0.5675
3,95,-1.5885
4729,95,-0.6563
2029,95,1.8866
7230,95,1.3792
3822,95,-1.2049
1433,95,0.674
7320,95,-1.4362
827,95,-1.7317
1532,95,-0.5514
5982,95,1.3853
2737,95,0.5936
2318,95,1.5527
4048,95,-0.7729
13748,95,0.6665
1728,95,-0.6343
86,95,-0.5463
8834,95,-1.3642
4018,95,-0.515
4600,95,1.193
9584,95,-1.1863
2575,95,-1.1886
3623,95,1.6512
6453,95,0.6372
1697,95,0.9408
5879,95,-0.8121
3124,95,-1.2958
125,95,-0.7842
6385,95,1.6224
828,95,-0.6089
1188,95,1.9904
1922,95,0.6525
3512,95,-0.7257
6629,95,-1.1469
1432,95,1.501
2692,95,1.5451
14105,95,-0.8245
361,95,-0.7324
4906,95,-1.9803
763,95,1.2941
1998,95,2.0967
70,95,-1.1451
9349,95,-0.6247
1130,95,-1.4999
15,95,0.556
5290,95,0.6053
4882,95,2.8587
837,95,1.0912
835,95,-0.6953
6626,95,-1.1636
2148,95,-1.4557
451,95,0.542
448,95,-0.9201
4808,95,-1.1359
3127,95,-0.9626
4153,95,-1.0374
4156,95,1.3294
871,95,-0.8304
2865,95,-1.0931
920,95,-1.3593
12439,95,-0.5121
3621,95,-2.4521
5243,95,0.5085
1046,95,1.2824
1,95,-1.1448
9291,95,-1.6415
4292,95,1.2286
8241,95,-1.326
310,95,-0.7639
3490,95,0.5385
2609,95,1.067
5656,95,0.7948
3497,95,0.8957
1344,95,-0.9733
5681,95,-1.6797
1201,95,-1.1665
4612,95,1.1728
417,95,0.9254
7922,95,-1.5987
6530,95,-0.5522
1369,95,-1.0319
6901,95,-1.4401
1378,95,-0.8285
1384,95,1.6914
3015,95,-0.5898
3517,95,1.2935
494,95,-1.3665
539,95,-1.3985
1092,95,-0.8288
9577,95,1.4506
600,95,1.4924
4063,95,-1.0904
626,95,-0.6604
631,95,-2.304
1462,95,-0.924
6512,95,-1.3508
1865,95,-0.8294
4887,95,-0.8151
268,95,-0.9097
8972,95,-1.3514
256,95,-0.5449
4436,95,-0.6616
642,95,-0.5253
3154,95,-1.3995
89,95,-1.2808
1868,95,1.0301
723,95,-0.8894
2243,95,1.2994
5272,95,-0.8261
799,95,1.6715
7572,95,1.0055
656,95,-0.9511
515,95,0.8484
