gene_id,Entrez_Gene_Id,Hugo_Symbol
16046,,C3ORF55
8465,,C3ORF72
32868,,C3ORF80
11779,,C3ORF83
35479,,C3ORF84
35939,,C3ORF85
35420,,C4BPB
34492,,C4ORF19
4357,,C4ORF21
35235,,C4ORF3
3973,,C4ORF40
34802,,C4ORF48
33307,,C4ORF54
34240,,C5AR2
35846,,C5ORF15
34926,,C5ORF38
16266,,C5ORF48
35344,,C5ORF52
15454,,C5ORF54
33802,,C5ORF67
34167,,C6ORF106
36642,,C6ORF120
35185,,C6ORF136
33299,,C6ORF163
34220,,C6ORF223
36458,,C7ORF33
36707,,C7ORF61
2543,,C7ORF63
32924,,C8G
12045,,C8ORF47
34978,,C8ORF48
33578,,C8ORF59
33118,,C9ORF116
34823,,C9ORF129
33397,,C9ORF16
12172,,C9ORF37
36538,,C9ORF40
33359,,C9ORF43
35195,,C9ORF47
36491,,C9ORF85
34000,,C9ORF92
35329,,CA13
34549,,CA4
34874,,CA5A
33974,,CA8
36634,,CAAP1
32928,,CAB39
36391,,CABCOCO1
36493,,CACTIN
33999,,CADM4
32943,,CALCA
32816,,CALHM4
35803,,CALHM5
36483,,CALHM6
35062,,CALML5
33921,,CALY
34774,,CAMK1
33701,,CAMK2N2
35402,,CAMKK1
34033,,CAMLG
32885,,CANT1
36547,,CANX
34649,,CAPG
33793,,CAPNS1
35511,,CAPS
33183,,CAPZA2
33367,,CAPZA3
33546,,CARD19
34398,,CARD9
34862,,CARHSP1
35463,,CARMIL1
33922,,CARMIL2
35399,,CARMIL3
33809,,CARNMT1
33919,,CASC10
33708,,CASP12
33559,,CASP4
33599,,CASTOR1
34161,,CASTOR3
35375,,CATIP
35249,,CATSPERE
34382,,CATSPERZ
33372,,CAVIN1
33807,,CAVIN2
34543,,CAVIN3
36630,,CAVIN4
35271,,CBARP
35711,,CBFA2T2
35747,,CBFB
34997,,CBLL2
32974,,CBR1
33466,,CBR3
36505,,CBR4
32919,,CBWD3
35457,,CBWD5
32784,,CBX1
34406,,CBX7
33286,,CBY1
33431,,CC2D2B
35851,,CCDC103
10917,,CCDC104
33195,,CCDC106
33209,,CCDC107
922,,CCDC11
34970,,CCDC112
32835,,CCDC121
33865,,CCDC122
34767,,CCDC134
8093,,CCDC135
6109,,CCDC147
33555,,CCDC153
34715,,CCDC160
36480,,CCDC166
33119,,CCDC167
36468,,CCDC177
34892,,CCDC182
34790,,CCDC184
